"발생년","발생년월일시","발생분","주야","요일","사망자수","사상자수","중상자수","경상자수","부상신고자수","발생지시도","발생지시군구","사고유형_대분류","사고유형_중분류","사고유형","법규위반_대분류","법규위반","도로형태_대분류","도로형태","당사자종별_1당_대분류","당사자종별_1당","당사자종별_2당_대분류","당사자종별_2당","발생위치X_UTMK","발생위치Y_UTMK","경도","위도"
"2012","2012050901","10","야간","수",1,1,0,0,0,"경남","거창군","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","대형","화물차","대형","1032000 ","1731688 ",127.85319127,35.5807185
"2012","2012033013","32","주간","금",1,1,0,0,0,"경기","용인시","차대차","추돌","주정차중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","소형","특수차","경형","960392  ","1924378 ",127.05293645,37.31761455
"2012","2012102620","55","야간","금",1,2,1,0,0,"경북","김천시","차대차","측면직각충돌","측면직각충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","승용차","소형","1045245 ","1799427 ",128.00322413,36.19092077
"2012","2012062814","10","주간","목",1,1,0,0,0,"경기","이천시","차대차","추돌","주정차중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","대형","승용차","소형","992942  ","1915569 ",127.4204256,37.23895584
"2012","2012061804","15","야간","월",1,1,0,0,0,"전남","광양시","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","기타/불명","기타/불명","화물차","대형","화물차","대형","1013547 ","1663287 ",127.64839323,34.9643711
"2012","2012071508","04","주간","일",1,5,0,4,0,"전남","광양시","차량단독","전도전복","전도전복","운전자법규위반","안전운전 의무 불이행","단일로","교량위","승합차","중형","00","00","1021668 ","1665087 ",127.72750019,34.98727926
"2012","2012053104","17","야간","목",1,2,1,0,0,"경기","하남시","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","소형","건설기계","건설기계","971512  ","1953274 ",127.17736415,37.57840723
"2012","2012091714","44","주간","월",1,1,0,0,0,"충남","논산시","차량단독","공작물충돌","공작물충돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","대형","00","00","967198  ","1791822 ",127.13548395,36.1228595
"2012","2012100102","43","야간","월",1,5,1,3,0,"경남","밀양시","차대차","측면직각충돌","측면직각충돌","운전자법규위반","부당한 회전","단일로","기타단일로","승용차","중형","승용차","중형","1115618 ","1717852 ",128.77399937,35.44975847
"2012","2012081612","55","주간","목",1,1,0,0,0,"전북","진안군","차량단독","전도전복","전도전복","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","특수차","대형","00","00","993204  ","1753236 ",127.42480836,35.77549842
"2012","2012083008","15","주간","목",1,5,1,3,0,"대구","북구","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","대형","화물차","소형","1093633 ","1766952 ",128.53749818,35.89470642
"2012","2012091604","20","야간","일",1,1,0,0,0,"대구","달성군","차대차","추돌","진행중 추돌","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","승용차","중형","특수차","대형","1088939 ","1756554 ",128.48433434,35.80140818
"2012","2012092410","57","주간","월",2,2,0,0,0,"전북","무주군","차대차","기타","기타","운전자법규위반","안전운전 의무 불이행","단일로","기타단일로","화물차","대형","화물차","대형","1014280 ","1774221 ",127.65837122,35.96462112
