발생년,발생년월일시,발생분,주야,요일,사망자수,사상자수,중상자수,경상자수,부상신고자수,발생지시도,발생지시군구,사고유형_대분류,사고유형_중분류,사고유형,법규위반_대분류,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_1당,당사자종별_2당_대분류,당사자종별_2당,발생위치X_UTMK,발생위치Y_UTMK,경도,위도
2015,2015052008,40,주간,수,1,1,0,0,0,울산,울주군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,화물차,소형,자전거,자전거,1152718,1729941,129.1849419,35.5537089
2015,2015051920,55,야간,화,1,1,0,0,0,경기,김포시,차대사람,횡단중,횡단중,운전자법규위반,신호위반,교차로,교차로내,원동기장치자전거,원동기장치자전거,보행자,보행자,926610,1960738,126.6681195,37.64319186
2015,2015052010,40,주간,수,1,1,0,0,0,전북,부안군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,보행자,보행자,921630,1754329,126.6328434,35.78225007
2015,2015051718,40,야간,일,1,1,0,0,0,경기,안산시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승합차,대형,원동기장치자전거,원동기장치자전거,937142,1924022,126.7906264,37.31305178
2015,2015051713,15,주간,일,1,1,0,0,0,충북,옥천군,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,자전거,자전거,0,0,1017551,1821902,127.6942361,36.39558083
2015,2015051718,52,야간,일,3,4,1,0,0,경남,사천시,차대차,추돌,진행중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,승용차,대형,1050825,1665659,128.0568687,34.98457421
2015,2015040500,40,야간,일,1,1,0,0,0,강원,태백시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,0,0,1129033,1904627,128.9526609,37.13144808
2015,2015041104,18,야간,토,1,2,0,1,0,서울,은평구,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,948399,1956375,126.915393,37.60535111
2015,2015041002,40,야간,금,1,2,1,0,0,제주,서귀포시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,건설기계,건설기계,905698,1473694,126.4876651,33.25044814
2015,2015041222,20,야간,일,1,1,0,0,0,인천,서구,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,927671,1947036,126.681498,37.51978515
2015,2015041902,19,야간,일,1,3,2,0,0,경기,파주시,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,지하도로내,지하도로내,승용차,중형,승용차,중형,934681,1967917,126.7589541,37.70850321
2015,2015041615,35,주간,목,1,3,0,2,0,경기,가평군,차대차,정면충돌,정면충돌,운전자법규위반,중앙선 침범,고가도로위,고가도로위,화물차,소형,승용차,대형,1001392,1980229,127.5158165,37.82180218
2015,2015041904,13,야간,일,1,1,0,0,0,충남,홍성군,차대사람,차도통행중,차도통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,925896,1845055,126.6715576,36.60043769
2015,2015042005,45,야간,월,1,1,0,0,0,대구,수성구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,단일로,횡단보도부근,승용차,중형,보행자,보행자,1102739,1759064,128.6373636,35.8226871
2015,2015043020,50,야간,목,1,1,0,0,0,경기,파주시,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,937634,1977480,126.7916324,37.79489641
2015,2015050517,25,주간,화,1,1,0,0,0,전북,완주군,차대차,기타,기타,운전자법규위반,신호위반,교차로,교차로내,건설기계,건설기계,원동기장치자전거,원동기장치자전거,973641,1775639,127.2076217,35.97715407
2015,2015050619,50,야간,수,1,1,0,0,0,충남,천안시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,973816,1863720,127.2065956,36.77123204
2015,2015050619,45,야간,수,1,1,0,0,0,전남,여수시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,보행자,보행자,1013513,1640722,127.6476567,34.76088905
2015,2015050412,2,주간,월,1,1,0,0,0,부산,서구,차대사람,차도통행중,차도통행중,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,중형,보행자,보행자,1138158,1681565,129.0161856,35.1197972
2015,2015050917,20,주간,토,1,1,0,0,0,서울,중랑구,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,터널안,승용차,소형,0,0,964169,1953531,127.0941914,37.58046707
2015,2015051213,20,주간,화,1,1,0,0,0,충남,논산시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,교차로 통행방법 위반,교차로,교차로내,화물차,소형,이륜차,소형,963058,1800505,127.0890704,36.20099198
2015,2015051122,50,야간,월,1,1,0,0,0,경기,김포시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,승합차,대형,923890,1964168,126.6369335,37.67388297
2015,2015051110,8,주간,월,1,1,0,0,0,전남,광양시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,건설기계,건설기계,승용차,경형,1017276,1660527,127.6891832,34.93942612
2015,2015051618,15,야간,토,2,4,2,0,0,경기,의정부시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로내,승용차,중형,승용차,중형,959044,1970455,127.0351993,37.73279148
2015,2015051409,35,주간,목,1,1,0,0,0,경기,구리시,차대사람,기타,기타,운전자법규위반,중앙선 침범,단일로,기타단일로,승용차,경형,보행자,보행자,967606,1956685,127.1329773,37.60902253
2015,2015051515,0,주간,금,1,1,0,0,0,경북,칠곡군,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,자전거,자전거,1080635,1776548,128.3944654,35.98237152
2015,2015052006,0,주간,수,1,3,2,0,0,충남,아산시,차대차,추돌,주정차중 추돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,건설기계,건설기계,953826,1850772,126.9833866,36.65374904
2015,2015040802,50,야간,수,1,3,0,2,0,인천,남구,차대차,측면직각충돌,측면직각충돌,운전자법규위반,신호위반,교차로,교차로내,승용차,중형,이륜차,중형,924832,1940988,126.649992,37.46504944
2015,2015041116,36,주간,토,1,1,0,0,0,부산,금정구,차대사람,횡단중,횡단중,운전자법규위반,보행자 보호의무 위반,교차로,교차로내,승합차,경형,보행자,보행자,1144167,1698755,129.0851161,35.2738999
2015,2015040918,14,야간,목,1,4,3,0,0,경기,고양시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,0,0,944959,1954226,126.8765836,37.58578271
2015,2015041322,22,야간,월,1,1,0,0,0,충북,청주시,차량단독,공작물충돌,공작물충돌,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,0,0,987538,1847350,127.3606233,36.62393858
2015,2015041515,20,주간,수,1,1,0,0,0,경북,울진군,차대사람,길가장자리구역통행중,길가장자리구역통행중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,보행자,보행자,1162959,1900510,129.3335472,37.08906097
2015,2015042516,35,주간,토,1,2,0,0,1,대구,중구,차대차,기타,기타,운전자법규위반,안전운전 의무 불이행,기타/불명,기타/불명,자전거,자전거,자전거,자전거,1100545,1764071,128.6137102,35.86804991
2015,2015042917,40,주간,수,1,5,0,4,0,전북,전주시,차대차,측면직각충돌,측면직각충돌,운전자법규위반,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,승합차,대형,963761,1758812,127.0987995,35.82512692
2015,2015042620,20,야간,일,1,1,0,0,0,서울,강북구,차대사람,기타,기타,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,화물차,경형,보행자,보행자,956915,1960810,127.011609,37.64576289
2015,2015042619,0,야간,일,1,1,0,0,0,강원,속초시,차량단독,전도전복,전도전복,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,원동기장치자전거,원동기장치자전거,0,0,1091298,2023039,128.5427397,38.20301363
2015,2015042705,0,야간,월,1,1,0,0,0,경기,안양시,차대사람,횡단중,횡단중,운전자법규위반,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,952050,1929793,126.9584869,37.36595765
