year,date,day_night,casualty,city,accident_class,accident_subclass,road_type,longitude,latitude
2012,2012050901,0,1,0,0,0,0,127.85319127,35.5807185
2012,2012033013,1,1,1,0,0,0,127.05293645,37.31761455
2012,2012102620,0,2,2,0,1,0,128.00322413,36.19092077
2012,2012062814,1,1,1,0,0,0,127.4204256,37.23895584
2012,2012061804,0,1,3,0,0,1,127.64839323,34.9643711
2012,2012071508,1,5,3,1,2,0,127.72750019,34.98727926
2012,2012053104,0,2,1,0,0,0,127.17736415,37.57840723
2012,2012091714,1,1,4,1,3,0,127.13548395,36.1228595
2012,2012100102,0,5,0,0,1,0,128.77399937,35.44975847
2012,2012081612,1,1,5,1,2,0,127.42480836,35.77549842
2012,2012083008,1,5,6,0,0,0,128.53749818,35.89470642
2012,2012091604,0,1,6,0,0,0,128.48433434,35.80140818
2012,2012092410,1,2,5,0,4,0,127.65837122,35.96462112
2012,2012101602,0,1,1,0,0,0,126.90162636,37.28902129
2012,2012121404,0,2,1,0,0,0,126.85202771,37.43926226
2012,2012111110,1,1,0,2,4,0,128.27591223,35.24882305
2012,2012110601,0,1,0,1,3,0,128.27159122,35.23128594
2012,2012081100,0,1,2,0,0,0,128.25756937,36.26772642
2012,2012092002,0,3,2,0,0,0,128.24891576,36.27669705
2012,2012010101,0,6,5,0,5,0,126.90940548,35.63407671
2012,2012010104,0,1,1,2,6,0,126.81074777,37.2066359
2012,2012010104,0,2,4,1,3,0,126.50446002,36.75058052
2012,2012010103,0,1,7,2,7,1,126.83389564,35.15331167
2012,2012010416,1,1,0,0,1,0,128.85907691,35.22071431
2012,2012010420,0,1,1,2,4,0,127.20176383,37.06876219
2012,2012010910,1,1,8,2,4,2,127.68491972,37.78841746
2012,2012010623,0,1,9,2,7,0,127.32534964,36.29997474
2012,2012010510,1,1,4,1,4,1,126.29184979,36.75975324
2012,2012010518,0,1,1,2,7,0,127.21784109,38.01433447
2012,2012011320,0,1,10,2,7,0,126.72100472,37.54354126
2012,2012011316,1,1,11,1,4,0,126.82199465,37.54415531
2012,2012011222,0,1,3,2,4,0,127.52140126,34.95367494
2012,2012011300,0,1,1,0,0,0,127.41491635,37.51546093
2012,2012011016,1,1,10,0,5,0,126.47159139,37.646887899999996
2012,2012011113,1,1,10,0,1,2,126.66995535,37.40524246
2012,2012030515,1,1,1,1,8,0,126.93307894,37.68576419
2012,2012021000,0,5,0,0,4,0,128.27109248,35.23200144
2012,2012011804,0,1,0,0,1,0,128.64687031,35.27485481
2012,2012042611,1,1,0,1,4,0,128.40147025,35.28752702
2012,2012010108,1,1,4,1,3,0,126.83028099,36.49126831
2012,2012010104,0,1,2,1,3,0,128.76299968,35.847388099999996
2012,2012010113,1,3,8,1,3,0,128.83931332,37.66927379999999
2012,2012010917,1,1,12,0,0,0,129.20066799,35.25680531
2012,2012010807,1,1,0,2,7,0,128.06409201,35.19213393
2012,2012010702,0,1,1,1,3,0,127.29700154,37.37469384
2012,2012010507,1,1,4,2,9,0,127.2966662,36.75811427
2012,2012010612,1,2,5,0,5,0,127.38793294,35.42619606
2012,2012011304,0,2,10,2,7,0,126.70653661,37.46564096
2012,2012011200,0,1,10,2,7,0,126.70704496,37.44962738
2012,2012022800,0,2,12,0,1,0,128.94580467,35.22228805
2012,2012011302,0,2,13,0,0,0,127.99809531,36.74375044
2012,2012022202,0,1,13,1,3,0,128.13803842,37.14029124
2012,2012012606,1,1,2,2,4,0,128.32074022,36.13591977
2012,2012032706,1,3,1,0,1,0,126.85954315,37.34785943
2012,2012041222,0,3,5,1,4,0,127.25841876,35.80368043
2012,2012061114,1,3,5,1,3,1,127.03945411,35.83565237
2012,2012011417,1,4,13,0,1,0,127.50224683,36.96703096
2012,2012011005,0,1,1,0,0,2,127.19266123,37.25844164
2012,2012012506,1,1,0,2,6,0,128.11478718,35.1589661
2012,2012011622,0,4,1,0,0,0,127.10351012,37.29377275
2012,2012042923,0,1,0,0,1,0,128.2211021,35.18488075
2012,2012042705,0,3,2,0,0,0,128.89572637,35.89876717
2012,2012052211,1,8,1,0,0,0,126.86789546,36.96535746
2012,2012051310,1,12,4,1,4,0,127.18881333,36.91222079
2012,2012042823,0,4,10,0,0,0,126.73248091,37.43319236
2012,2012051401,0,6,10,0,4,0,126.71641201,37.52377153
2012,2012060123,0,1,1,2,6,0,127.10326853,37.39552024
2012,2012071212,1,2,1,0,5,0,126.95687992,37.37895712
2012,2012070910,1,4,11,0,0,0,127.05144261,37.45103974
2012,2012081321,0,4,2,0,0,0,128.23933965,36.37096579
2012,2012090615,1,2,1,0,0,0,127.42873211,37.22983889
2012,2012090110,1,1,0,1,3,0,128.81147422,35.22035584
2012,2012090717,1,3,4,1,3,0,126.58873349,36.47305353
2012,2012080302,0,2,1,0,0,0,127.39908203,37.23986802
2012,2012122105,0,2,3,1,2,0,127.05345940000001,34.80529324
